employee_id,available_percentage,current_allocation_percentage,next_available_date,mobility_willing,remote_willing,last_updated
1001,2,0,2026-07-20,False,False,2026-05-13
1002,1,2,2026-07-19,False,True,2026-05-13
1003,68,36,2026-05-15,False,False,2026-05-13
1004,22,13,2026-05-25,False,True,2026-05-13
1005,30,24,2026-07-31,False,True,2026-05-13
1006,45,34,2026-07-02,True,True,2026-05-13
1007,51,58,2026-07-24,True,True,2026-05-13
1008,38,87,2026-05-23,False,True,2026-05-13
1009,11,51,2026-06-30,True,False,2026-05-13
1010,7,81,2026-05-14,False,True,2026-05-13
1011,10,63,2026-07-07,False,True,2026-05-13
1012,72,12,2026-07-19,True,True,2026-05-13
1013,27,88,2026-07-24,True,True,2026-05-13
1014,5,9,2026-08-08,True,True,2026-05-13
1015,22,40,2026-05-15,True,True,2026-05-13
1016,96,91,2026-07-02,True,True,2026-05-13
1017,20,72,2026-06-12,False,False,2026-05-13
1018,86,69,2026-06-24,True,True,2026-05-13
1019,88,92,2026-05-23,False,True,2026-05-13
1020,6,12,2026-07-07,True,True,2026-05-13
1021,43,77,2026-07-30,False,False,2026-05-13
1022,99,41,2026-05-16,False,True,2026-05-13
1023,100,57,2026-07-14,True,True,2026-05-13
1024,70,48,2026-07-07,True,False,2026-05-13
1025,10,98,2026-07-31,True,True,2026-05-13
1026,91,9,2026-05-23,True,True,2026-05-13
1027,48,91,2026-08-02,True,False,2026-05-13
1028,40,46,2026-05-26,True,True,2026-05-13
1029,39,56,2026-06-28,True,True,2026-05-13
1030,16,11,2026-06-05,True,False,2026-05-13
1031,71,71,2026-07-17,True,True,2026-05-13
1032,3,11,2026-06-27,False,True,2026-05-13
1033,76,76,2026-06-23,True,True,2026-05-13
1034,37,52,2026-07-01,True,True,2026-05-13
1035,73,66,2026-06-03,False,False,2026-05-13
1036,21,17,2026-06-16,True,True,2026-05-13
1037,63,18,2026-05-21,True,False,2026-05-13
1038,35,53,2026-06-20,True,True,2026-05-13
1039,46,32,2026-06-13,False,False,2026-05-13
1040,76,78,2026-06-07,True,True,2026-05-13
