employee_id,certification_name,issue_date,expiry_date,issuing_body,status
1001,Power BI Data Analyst,2024-03-07,2027-03-07,Tableau,Active
1002,Microsoft Certified: Data Analyst Associate,2023-12-22,2026-12-21,PMI,Active
1007,Google Analytics Certification,2024-12-06,2027-12-06,Tableau,Active
1008,Google Cloud Professional,2023-09-12,2026-09-11,ISC2,Active
1008,Microsoft Certified: Data Analyst Associate,2024-11-09,2027-11-09,Tableau,Active
1009,Advanced Excel Certification,2026-03-25,2029-03-24,Tableau,Active
1010,Advanced Excel Certification,2025-05-25,2028-05-24,AWS,Active
1011,Power BI Data Analyst,2023-11-27,2026-11-26,ISC2,Active
1011,Google Analytics Certification,2024-11-17,2027-11-17,Tableau,Active
1011,Tableau Desktop Specialist,2024-08-03,2027-08-03,Microsoft,Active
1012,Python Professional Certification,2024-12-14,2027-12-14,Tableau,Active
1012,CISSP - Certified Information Systems Security Professional,2024-04-08,2027-04-08,PMI,Active
1012,Azure Administrator Certified,2024-08-16,2027-08-16,ISC2,Active
1013,AWS Certified Solutions Architect,2024-01-24,2027-01-23,Google,Active
1015,Python Professional Certification,2026-01-03,2029-01-02,PMI,Active
1015,Advanced Excel Certification,2023-07-01,2026-06-30,Google,Active
1015,Oracle Certified Associate,2024-12-28,2027-12-28,PMI,Active
1015,SQL Server Administration,2024-04-22,2027-04-22,Microsoft,Active
1016,Google Analytics Certification,2024-11-16,2027-11-16,ISC2,Active
1017,Advanced Excel Certification,2025-09-27,2028-09-26,ISC2,Active
1019,Oracle Certified Associate,2026-02-04,2029-02-03,PMI,Active
1019,CISSP - Certified Information Systems Security Professional,2024-03-27,2027-03-27,ISC2,Active
1020,Azure Administrator Certified,2024-08-17,2027-08-17,Google,Active
1021,PMP - Project Management Professional,2025-02-26,2028-02-26,Microsoft,Active
1021,Google Cloud Professional,2024-03-25,2027-03-25,PMI,Active
1022,Agile Scrum Master Certification,2023-08-01,2026-07-31,Google,Active
1022,Tableau Desktop Specialist,2024-05-20,2027-05-20,AWS,Active
1022,Google Cloud Professional,2023-08-28,2026-08-27,AWS,Active
1022,Python Professional Certification,2025-06-29,2028-06-28,Microsoft,Active
1023,SQL Server Administration,2024-01-21,2027-01-20,PMI,Active
1023,Advanced Excel Certification,2024-03-25,2027-03-25,AWS,Active
1024,AWS Certified Solutions Architect,2025-08-03,2028-08-02,Tableau,Active
1024,Tableau Desktop Specialist,2024-03-20,2027-03-20,ISC2,Active
1024,Certified Data Science Professional,2024-10-24,2027-10-24,PMI,Active
1025,Python Professional Certification,2024-03-14,2027-03-14,AWS,Active
1027,AWS Certified Solutions Architect,2024-06-11,2027-06-11,PMI,Active
1029,Azure Administrator Certified,2023-09-06,2026-09-05,ISC2,Active
1029,Advanced Excel Certification,2024-08-03,2027-08-03,ISC2,Active
1030,Azure Administrator Certified,2025-07-01,2028-06-30,AWS,Active
1032,CISSP - Certified Information Systems Security Professional,2025-08-19,2028-08-18,AWS,Active
1034,Google Cloud Professional,2023-12-07,2026-12-06,PMI,Active
1034,PMP - Project Management Professional,2025-06-01,2028-05-31,Tableau,Active
1034,CISSP - Certified Information Systems Security Professional,2025-09-23,2028-09-22,Tableau,Active
1034,Power BI Data Analyst,2023-12-30,2026-12-29,Google,Active
1036,Microsoft Certified: Data Analyst Associate,2023-10-18,2026-10-17,Tableau,Active
1037,Python Professional Certification,2024-04-01,2027-04-01,AWS,Active
1038,Certified Data Science Professional,2024-04-09,2027-04-09,AWS,Active
1039,Tableau Desktop Specialist,2023-09-25,2026-09-24,AWS,Active
1039,Microsoft Certified: Data Analyst Associate,2025-02-03,2028-02-03,ISC2,Active
1039,Azure Administrator Certified,2026-03-01,2029-02-28,AWS,Active
1040,Microsoft Certified: Data Analyst Associate,2025-07-30,2028-07-29,PMI,Active
