employee_id,skill_name,proficiency_level,years_of_experience
1001,Python,Expert,2
1001,Automation,Beginner,4
1001,Stakeholder Management,Intermediate,3
1002,Cloud Engineering,Intermediate,1
1002,SQL,Expert,1
1002,DAX,Expert,1
1002,Data Engineering,Expert,1
1002,Azure,Expert,1
1003,SQL,Intermediate,4
1003,Cloud Engineering,Advanced,4
1003,Analytics,Advanced,5
1003,ETL,Intermediate,5
1003,Power BI,Expert,1
1004,AI/ML,Beginner,6
1004,Machine Learning,Advanced,5
1004,Azure,Beginner,8
1005,Analytics,Advanced,3
1005,Machine Learning,Advanced,2
1005,ETL,Advanced,1
1005,Python,Intermediate,1
1005,SQL,Expert,2
1005,AI/ML,Advanced,1
1005,Power BI,Advanced,4
1006,Analytics,Intermediate,11
1006,Power BI,Expert,14
1006,DAX,Expert,8
1006,VBA,Advanced,4
1006,Cloud Engineering,Advanced,2
1006,Machine Learning,Expert,8
1006,Python,Intermediate,15
1007,Azure,Beginner,1
1007,VBA,Intermediate,2
1007,Data Visualisation,Advanced,2
1007,DAX,Intermediate,3
1007,Analytics,Intermediate,3
1008,Python,Expert,5
1008,SQL,Beginner,10
1008,Azure,Advanced,12
1008,Power BI,Expert,7
1008,Stakeholder Management,Advanced,9
1009,Machine Learning,Intermediate,6
1009,Stakeholder Management,Advanced,5
1009,DAX,Expert,5
1010,Analytics,Expert,15
1010,Cloud Engineering,Intermediate,6
1010,VBA,Advanced,2
1010,AI/ML,Advanced,5
1010,DAX,Intermediate,11
1010,Data Engineering,Intermediate,7
1010,Machine Learning,Advanced,9
1010,SQL,Beginner,7
1011,Machine Learning,Advanced,1
1011,AI/ML,Advanced,4
1011,Analytics,Advanced,6
1011,Power BI,Advanced,8
1011,Stakeholder Management,Expert,8
1011,VBA,Expert,3
1011,Azure,Expert,5
1011,Cloud Engineering,Advanced,6
1012,VBA,Expert,8
1012,Data Visualisation,Expert,5
1012,DAX,Beginner,8
1013,Stakeholder Management,Advanced,5
1013,VBA,Beginner,4
1013,Data Visualisation,Intermediate,2
1013,SQL,Beginner,1
1013,Automation,Advanced,1
1013,Machine Learning,Advanced,2
1014,Data Visualisation,Beginner,4
1014,Analytics,Expert,2
1014,ETL,Intermediate,8
1014,Automation,Advanced,9
1015,Data Engineering,Advanced,2
1015,Data Visualisation,Expert,4
1015,Automation,Advanced,2
1015,Stakeholder Management,Expert,3
1015,ETL,Expert,4
1015,Machine Learning,Expert,3
1015,AI/ML,Advanced,3
1016,Azure,Intermediate,5
1016,Data Engineering,Advanced,5
1016,VBA,Expert,3
1016,ETL,Advanced,11
1017,Automation,Expert,10
1017,Machine Learning,Advanced,1
1017,Python,Expert,5
1017,DAX,Expert,7
1017,VBA,Advanced,9
1017,AI/ML,Expert,4
1017,Data Visualisation,Advanced,5
1018,Automation,Expert,8
1018,Python,Expert,9
1018,Machine Learning,Beginner,7
1018,Data Engineering,Expert,1
1018,AI/ML,Intermediate,7
1018,Data Visualisation,Intermediate,8
1019,Python,Advanced,3
1019,Azure,Advanced,4
1019,Machine Learning,Advanced,4
1019,Data Engineering,Advanced,1
1020,Python,Expert,1
1020,Analytics,Expert,1
1020,ETL,Intermediate,1
1020,Cloud Engineering,Expert,1
1020,Data Engineering,Intermediate,1
1020,DAX,Expert,1
1021,Analytics,Advanced,4
1021,Azure,Expert,6
1021,Data Visualisation,Expert,4
1021,Data Engineering,Advanced,10
1021,Power BI,Advanced,13
1021,Stakeholder Management,Advanced,7
1022,Stakeholder Management,Advanced,10
1022,Analytics,Expert,4
1022,AI/ML,Expert,2
1023,ETL,Advanced,6
1023,Machine Learning,Beginner,7
1023,AI/ML,Expert,2
1023,Data Engineering,Advanced,6
1023,SQL,Advanced,8
1024,Power BI,Advanced,5
1024,Machine Learning,Advanced,4
1024,Cloud Engineering,Expert,2
1024,Analytics,Advanced,8
1024,ETL,Advanced,8
1024,Azure,Expert,7
1024,AI/ML,Advanced,8
1024,Automation,Expert,3
1025,DAX,Advanced,3
1025,Data Engineering,Advanced,3
1025,Data Visualisation,Beginner,1
1025,Azure,Beginner,3
1025,VBA,Intermediate,3
1025,Analytics,Advanced,3
1026,AI/ML,Intermediate,2
1026,Analytics,Advanced,2
1026,Automation,Advanced,2
1026,Data Visualisation,Intermediate,3
1026,Python,Intermediate,3
1026,SQL,Intermediate,2
1027,Automation,Intermediate,18
1027,Azure,Expert,6
1027,VBA,Intermediate,16
1027,Data Visualisation,Intermediate,19
1027,DAX,Expert,17
1027,SQL,Advanced,4
1027,AI/ML,Expert,10
1027,Data Engineering,Intermediate,6
1028,Python,Beginner,1
1028,Analytics,Intermediate,2
1028,ETL,Advanced,4
1028,Power BI,Beginner,1
1028,Azure,Intermediate,4
1029,Automation,Intermediate,1
1029,Data Engineering,Advanced,1
1029,Power BI,Advanced,1
1029,Python,Intermediate,2
1029,Azure,Beginner,1
1029,Cloud Engineering,Intermediate,2
1030,Stakeholder Management,Expert,5
1030,Data Visualisation,Advanced,7
1030,Cloud Engineering,Intermediate,1
1030,DAX,Advanced,2
1030,ETL,Expert,4
1030,Machine Learning,Advanced,5
1030,Automation,Advanced,3
1031,Power BI,Beginner,4
1031,ETL,Expert,4
1031,SQL,Advanced,2
1031,Cloud Engineering,Advanced,3
1032,VBA,Beginner,1
1032,Automation,Advanced,2
1032,SQL,Advanced,1
1032,AI/ML,Beginner,2
1032,DAX,Intermediate,2
1032,Azure,Intermediate,2
1032,Analytics,Advanced,2
1032,Machine Learning,Expert,2
1033,SQL,Intermediate,3
1033,Stakeholder Management,Intermediate,1
1033,Python,Expert,9
1033,Machine Learning,Intermediate,6
1033,Data Engineering,Intermediate,15
1033,VBA,Expert,6
1034,Machine Learning,Advanced,1
1034,AI/ML,Expert,1
1034,Automation,Advanced,1
1034,SQL,Advanced,1
1034,Data Visualisation,Expert,1
1034,Data Engineering,Advanced,1
1034,Cloud Engineering,Advanced,1
1035,VBA,Advanced,2
1035,ETL,Advanced,5
1035,Python,Expert,4
1035,AI/ML,Expert,2
1035,Cloud Engineering,Advanced,2
1035,Automation,Expert,4
1036,Automation,Intermediate,2
1036,SQL,Beginner,1
1036,Python,Intermediate,1
1036,AI/ML,Advanced,1
1036,Stakeholder Management,Intermediate,2
1036,DAX,Intermediate,2
1036,Power BI,Intermediate,2
1036,Azure,Expert,1
1037,ETL,Expert,2
1037,Power BI,Expert,3
1037,Machine Learning,Expert,4
1037,DAX,Advanced,5
1037,Stakeholder Management,Advanced,1
1037,Cloud Engineering,Advanced,3
1038,Stakeholder Management,Intermediate,18
1038,AI/ML,Advanced,13
1038,Automation,Intermediate,11
1038,Power BI,Advanced,8
1038,Data Visualisation,Intermediate,8
1038,ETL,Advanced,14
1038,VBA,Beginner,16
1039,Cloud Engineering,Intermediate,6
1039,Data Visualisation,Expert,8
1039,Machine Learning,Intermediate,8
1039,VBA,Beginner,3
1039,AI/ML,Advanced,3
1039,Power BI,Intermediate,5
1039,Automation,Advanced,7
1039,Python,Expert,6
1040,VBA,Advanced,4
1040,ETL,Advanced,5
1040,Machine Learning,Expert,2
1040,Data Engineering,Intermediate,2
1040,AI/ML,Advanced,2
1040,Automation,Intermediate,5
1040,Cloud Engineering,Expert,1
1040,Python,Intermediate,1
