employee_id,project_id,project_name,sector,complexity,role,start_date,end_date,allocation_percentage,delivery_status
1001,PROJ_1001,Dolore minima velit facere.,Banking,Medium,Lead,2025-05-12,2025-11-24,99,Completed
1001,PROJ_1002,Velit nulla voluptas.,Transport,Medium,Lead,2025-08-20,2026-04-08,61,Completed
1001,PROJ_1003,Eaque dicta explicabo repudiandae.,Healthcare,High,Engineer,2025-09-16,2026-02-20,87,On Track
1002,PROJ_1001,Consectetur magni.,Healthcare,Medium,Advisor,2024-09-09,2025-04-22,83,Completed
1002,PROJ_1002,Veritatis soluta voluptate veniam eligendi.,Insurance,High,Analyst,2025-01-05,2025-12-04,78,Completed
1003,PROJ_1001,Earum suscipit cupiditate est repellendus.,Retail,Critical,Analyst,2025-01-24,2026-01-15,53,Delayed
1003,PROJ_1002,Delectus suscipit.,Aviation,Critical,Advisor,2023-03-10,2024-01-12,54,Completed
1003,PROJ_1003,Itaque magni odit.,Aviation,Medium,Lead,2024-01-10,2024-06-23,89,On Track
1003,PROJ_1004,Explicabo occaecati quas.,Retail,Critical,Advisor,2023-02-27,2024-02-23,56,Completed
1003,PROJ_1005,Cupiditate eveniet natus iure.,Insurance,Medium,Advisor,2024-03-24,2025-01-28,71,Delayed
1003,PROJ_1006,Sunt quam ipsum.,Aviation,High,Advisor,2023-03-22,2024-01-18,70,On Track
1004,PROJ_1001,Libero asperiores corrupti.,Aviation,Low,Analyst,2024-07-08,2025-06-05,55,Delayed
1004,PROJ_1002,Ab recusandae perspiciatis blanditiis.,Transport,Low,Lead,2024-12-22,2025-09-28,92,Completed
1004,PROJ_1003,Laborum eos atque.,Energy,Low,Lead,2023-03-28,2023-12-24,88,On Track
1004,PROJ_1004,Laboriosam autem reiciendis.,Banking,Medium,Advisor,2023-12-02,2024-04-23,64,Completed
1005,PROJ_1001,Numquam distinctio aliquid.,Retail,Medium,Advisor,2023-10-26,2024-03-22,85,Completed
1005,PROJ_1002,Nulla iure necessitatibus maxime.,Transport,High,Lead,2024-07-01,2024-10-13,71,On Track
1005,PROJ_1003,Quisquam doloribus cumque.,Transport,Critical,Analyst,2025-10-01,2026-04-01,59,Completed
1005,PROJ_1004,Consequuntur accusamus officia.,Banking,Critical,Advisor,2024-10-12,2025-10-08,79,On Track
1006,PROJ_1001,Unde officiis incidunt praesentium.,Government,Low,Analyst,2023-07-12,2024-03-17,59,Completed
1006,PROJ_1002,Saepe laboriosam ut nam.,Retail,Critical,Advisor,2025-08-24,2026-01-02,81,Delayed
1006,PROJ_1003,Laboriosam amet at modi possimus.,Banking,Low,Lead,2023-05-02,2023-12-17,77,Completed
1007,PROJ_1001,Aspernatur voluptas inventore accusantium temporibus.,Retail,Low,Engineer,2022-07-28,2023-07-22,75,Completed
1007,PROJ_1002,Adipisci iste consectetur porro.,Retail,Medium,Engineer,2025-09-16,2026-03-29,98,On Track
1007,PROJ_1003,Odit aut numquam dignissimos quasi.,Aviation,Low,Advisor,2023-12-16,2024-08-29,97,Delayed
1007,PROJ_1004,Totam magnam.,Energy,Medium,Lead,2024-11-14,2025-04-19,54,Delayed
1008,PROJ_1001,Aut laboriosam enim cupiditate.,Insurance,Low,Lead,2023-07-26,2023-11-02,86,Delayed
1008,PROJ_1002,Cupiditate libero facilis sed.,Retail,Low,Advisor,2023-03-09,2024-01-06,51,On Track
1009,PROJ_1001,Voluptatibus exercitationem.,Aviation,Critical,Analyst,2022-12-13,2023-09-14,65,Delayed
1009,PROJ_1002,Tempore optio eum architecto.,Aviation,Critical,Lead,2023-01-21,2024-01-14,97,On Track
1009,PROJ_1003,Error dolor suscipit.,Transport,Low,Analyst,2024-04-30,2025-01-15,83,Completed
1010,PROJ_1001,Excepturi pariatur neque nostrum.,Banking,Low,Engineer,2023-11-11,2024-04-24,66,Completed
1010,PROJ_1002,Voluptatem ex doloribus perferendis ipsa.,Aviation,Medium,Advisor,2024-11-06,2025-04-23,79,Delayed
1010,PROJ_1003,Magni at quibusdam repudiandae.,Transport,Critical,Analyst,2023-10-14,2024-06-21,80,Delayed
1010,PROJ_1004,Aliquid nisi iste reiciendis.,Healthcare,High,Analyst,2023-12-15,2024-08-01,69,Delayed
1011,PROJ_1001,Dolorum expedita nulla eius.,Government,High,Analyst,2025-09-29,2026-01-26,91,Completed
1011,PROJ_1002,Unde beatae cumque quis laboriosam.,Insurance,Low,Advisor,2022-08-28,2023-06-10,86,Completed
1011,PROJ_1003,Reprehenderit excepturi aspernatur corporis.,Transport,Low,Advisor,2023-07-27,2024-06-24,56,On Track
1011,PROJ_1004,Aliquam sint.,Transport,Low,Engineer,2024-11-09,2025-10-23,95,Delayed
1011,PROJ_1005,Quam eius architecto.,Transport,High,Lead,2022-11-03,2023-10-27,68,Delayed
1012,PROJ_1001,Voluptatibus consequuntur sit.,Government,Low,Lead,2024-01-26,2024-05-21,56,Delayed
1012,PROJ_1002,Debitis culpa ab.,Transport,High,Analyst,2024-02-03,2024-09-09,87,Completed
1012,PROJ_1003,Aut beatae.,Energy,Medium,Analyst,2023-08-23,2024-04-27,69,Delayed
1012,PROJ_1004,Magni quis facilis voluptate.,Aviation,Critical,Lead,2024-01-07,2024-06-10,51,On Track
1012,PROJ_1005,Tempore cupiditate.,Banking,High,Advisor,2024-01-20,2024-07-20,62,Completed
1013,PROJ_1001,Voluptatum eaque error.,Retail,Low,Analyst,2025-01-22,2025-05-31,92,On Track
1013,PROJ_1002,Atque ut iure voluptate.,Transport,Medium,Engineer,2024-10-10,2025-07-19,94,Completed
1013,PROJ_1003,Reiciendis perferendis.,Energy,High,Engineer,2023-07-10,2023-10-30,78,On Track
1014,PROJ_1001,Nulla ad inventore iusto.,Banking,High,Advisor,2023-12-23,2024-12-20,62,On Track
1014,PROJ_1002,Quas harum velit.,Retail,Critical,Advisor,2022-12-02,2023-10-24,60,Completed
1014,PROJ_1003,Dolor earum quos libero.,Healthcare,Critical,Lead,2024-11-28,2025-07-04,85,Completed
1014,PROJ_1004,Temporibus occaecati sequi.,Retail,Low,Engineer,2022-12-21,2023-05-23,67,Delayed
1014,PROJ_1005,Reiciendis maiores rerum.,Energy,Low,Engineer,2022-12-14,2023-05-28,78,On Track
1015,PROJ_1001,Recusandae voluptates dolore suscipit.,Energy,High,Engineer,2023-08-21,2023-12-16,74,Completed
1015,PROJ_1002,Sapiente iste repellendus similique suscipit.,Healthcare,High,Analyst,2023-08-16,2024-03-07,95,On Track
1016,PROJ_1001,Fuga impedit eos quasi vel.,Retail,Critical,Engineer,2025-03-19,2025-07-06,98,Delayed
1016,PROJ_1002,Iure soluta.,Aviation,Low,Lead,2023-07-08,2023-10-08,63,Completed
1016,PROJ_1003,Libero perferendis alias cupiditate porro.,Retail,Medium,Lead,2023-07-06,2023-11-29,57,Completed
1017,PROJ_1001,Odio odit.,Aviation,Low,Advisor,2023-01-16,2023-12-06,88,Completed
1017,PROJ_1002,Rerum maxime.,Transport,High,Advisor,2022-10-23,2023-05-24,50,On Track
1017,PROJ_1003,Iste at unde sit.,Transport,Low,Lead,2024-02-08,2024-12-07,54,Completed
1018,PROJ_1001,Rerum placeat a.,Energy,High,Lead,2023-05-05,2023-08-25,97,Completed
1018,PROJ_1002,Laborum atque deleniti non eligendi.,Government,Medium,Analyst,2023-12-10,2024-04-12,99,On Track
1018,PROJ_1003,Dicta odit ipsam animi.,Government,High,Engineer,2025-03-24,2025-07-14,99,Delayed
1018,PROJ_1004,Dolore cum omnis.,Transport,Low,Advisor,2023-02-05,2023-08-07,52,On Track
1018,PROJ_1005,Nesciunt aliquid corrupti.,Banking,Low,Lead,2024-11-05,2025-02-25,69,Delayed
1019,PROJ_1001,Accusamus sint dolore deserunt in.,Healthcare,Medium,Lead,2023-01-11,2023-08-18,72,Completed
1019,PROJ_1002,Voluptatum molestiae rerum nisi eligendi.,Aviation,High,Advisor,2023-10-18,2024-06-03,75,Delayed
1019,PROJ_1003,Architecto ullam.,Transport,Critical,Advisor,2023-05-25,2024-02-12,73,On Track
1019,PROJ_1004,Quae quisquam distinctio corrupti.,Aviation,Critical,Engineer,2024-12-23,2025-10-26,84,On Track
1019,PROJ_1005,Suscipit aperiam.,Aviation,High,Lead,2024-02-04,2024-06-25,69,Delayed
1019,PROJ_1006,Voluptatum laborum id harum.,Insurance,High,Advisor,2023-06-01,2023-11-23,52,On Track
1020,PROJ_1001,Optio laboriosam quae natus.,Healthcare,Low,Advisor,2023-03-20,2023-11-05,73,Completed
1020,PROJ_1002,Deserunt soluta.,Insurance,Low,Engineer,2025-08-30,2026-02-09,54,Completed
1020,PROJ_1003,Vitae animi eius aspernatur illo.,Energy,Low,Engineer,2023-06-23,2024-03-24,93,Delayed
1020,PROJ_1004,Accusantium ratione facere incidunt.,Insurance,Low,Engineer,2023-06-09,2024-03-15,83,On Track
1020,PROJ_1005,Repellendus enim.,Retail,Medium,Analyst,2023-05-14,2024-01-19,51,Completed
1020,PROJ_1006,Iusto itaque nemo.,Energy,Low,Lead,2022-07-06,2023-06-26,99,On Track
1021,PROJ_1001,Accusamus soluta est delectus.,Insurance,Medium,Analyst,2024-06-07,2025-01-29,58,Completed
1021,PROJ_1002,Velit facere doloribus illo sunt.,Insurance,Low,Lead,2023-04-06,2023-10-01,92,On Track
1021,PROJ_1003,Asperiores rem laborum.,Retail,Medium,Engineer,2025-04-08,2025-12-02,100,On Track
1021,PROJ_1004,Corporis molestiae maxime praesentium.,Aviation,Medium,Engineer,2022-11-15,2023-06-07,65,Delayed
1021,PROJ_1005,Aliquid consequuntur explicabo.,Government,Critical,Engineer,2025-05-21,2026-02-19,89,Completed
1022,PROJ_1001,Doloribus ducimus.,Insurance,Critical,Advisor,2023-09-30,2024-07-19,86,Completed
1022,PROJ_1002,Maiores magni nemo.,Aviation,Critical,Advisor,2024-11-21,2025-07-31,93,On Track
1023,PROJ_1001,Corporis nesciunt quisquam non deleniti.,Energy,Low,Analyst,2024-11-01,2025-04-06,83,Completed
1023,PROJ_1002,Minima esse voluptatibus voluptate.,Transport,High,Engineer,2024-02-07,2024-07-30,72,On Track
1023,PROJ_1003,Enim quod labore quo.,Banking,High,Engineer,2025-03-30,2025-11-03,90,On Track
1024,PROJ_1001,Perspiciatis animi nam laboriosam.,Transport,Medium,Engineer,2024-10-22,2025-10-04,92,On Track
1024,PROJ_1002,Voluptas voluptas optio in.,Aviation,Low,Lead,2025-10-07,2026-01-19,91,Completed
1024,PROJ_1003,Incidunt esse.,Insurance,High,Lead,2023-08-29,2023-12-12,80,Completed
1024,PROJ_1004,Veritatis sequi quasi.,Insurance,Low,Analyst,2023-05-06,2024-01-03,60,Delayed
1024,PROJ_1005,Ipsa sed optio.,Insurance,Medium,Lead,2023-01-11,2023-12-14,88,Completed
1024,PROJ_1006,Optio atque nam itaque.,Government,Critical,Engineer,2023-11-02,2024-07-12,98,On Track
1025,PROJ_1001,Officia ad similique in commodi.,Banking,Critical,Analyst,2024-12-29,2025-09-08,67,Delayed
1025,PROJ_1002,Dignissimos laudantium.,Aviation,Low,Lead,2024-06-13,2024-11-22,74,Delayed
1025,PROJ_1003,Id nesciunt magni.,Government,High,Engineer,2024-06-03,2024-11-21,98,Completed
1025,PROJ_1004,Eligendi omnis minus culpa.,Insurance,Critical,Lead,2022-07-10,2023-06-28,81,Completed
1025,PROJ_1005,Consequatur vero ut.,Insurance,Medium,Engineer,2024-12-24,2025-10-11,87,On Track
1025,PROJ_1006,Voluptas nulla quas.,Retail,Critical,Advisor,2025-09-11,2026-01-04,68,Completed
1026,PROJ_1001,Cum labore nam harum.,Retail,High,Advisor,2023-06-08,2023-11-13,73,Completed
1026,PROJ_1002,Aspernatur labore.,Banking,High,Lead,2023-09-20,2024-01-14,54,Delayed
1027,PROJ_1001,Voluptates vitae iure.,Aviation,Medium,Analyst,2023-02-13,2023-10-04,75,On Track
1027,PROJ_1002,Provident nemo provident.,Transport,Medium,Advisor,2023-08-16,2024-05-19,82,Completed
1027,PROJ_1003,Optio mollitia ea laborum.,Transport,High,Advisor,2025-09-24,2026-01-11,83,Delayed
1027,PROJ_1004,Animi similique culpa nostrum.,Transport,High,Lead,2024-06-24,2025-06-12,60,Delayed
1027,PROJ_1005,Rerum modi dolorum.,Insurance,High,Advisor,2023-11-21,2024-08-09,51,On Track
1027,PROJ_1006,Quia quam blanditiis eum.,Energy,High,Analyst,2024-01-10,2024-06-04,88,Delayed
1028,PROJ_1001,Cupiditate voluptas minima quibusdam.,Insurance,Medium,Advisor,2024-09-08,2025-01-02,59,Completed
1028,PROJ_1002,Iusto consequatur omnis aut.,Banking,Low,Advisor,2025-09-15,2026-02-08,70,Delayed
1028,PROJ_1003,Iusto ratione deserunt.,Banking,Critical,Advisor,2024-08-10,2025-06-07,97,Completed
1028,PROJ_1004,Quis dicta consequatur.,Banking,High,Advisor,2024-07-15,2025-07-05,83,Delayed
1029,PROJ_1001,Facilis dolores minus distinctio ipsum.,Government,High,Lead,2024-06-03,2025-04-24,89,Delayed
1029,PROJ_1002,Dolores voluptatibus quos minus.,Retail,High,Engineer,2024-08-12,2025-03-16,69,On Track
1029,PROJ_1003,Vitae consectetur odio.,Government,Critical,Lead,2024-03-10,2025-02-13,85,On Track
1029,PROJ_1004,Voluptatum similique atque natus.,Energy,Critical,Lead,2024-04-02,2024-09-01,99,Completed
1030,PROJ_1001,Ipsum maxime corrupti iusto.,Aviation,High,Advisor,2025-05-25,2026-01-17,91,On Track
1030,PROJ_1002,Minus voluptatibus impedit.,Banking,High,Lead,2023-01-19,2023-08-06,58,Completed
1030,PROJ_1003,Modi similique consectetur maxime.,Healthcare,Medium,Engineer,2024-05-09,2024-12-09,53,Completed
1030,PROJ_1004,Sit placeat nobis.,Insurance,Low,Engineer,2023-04-04,2023-12-19,50,Completed
1031,PROJ_1001,Consequatur dolore.,Banking,High,Lead,2022-09-13,2023-08-13,68,Completed
1031,PROJ_1002,Sapiente a alias ullam quo.,Healthcare,Medium,Advisor,2025-03-18,2025-10-12,61,Completed
