employee_id,career_goal,development_priority,learning_preference,sector_preference,mobility_preference,engagement_score,last_assessment_date
1001,Technical Expertise,Team Leadership,Hands-on,Retail,Global,97,2026-04-22
1002,Sector Specialization,Industry Knowledge,Online,Banking,Europe,67,2026-03-28
1003,Technical Expertise,Data Science,Certification,Energy,Global,68,2025-12-17
1004,Management Track,Project Management,Hands-on,Insurance,Global,94,2025-11-17
1005,Sector Specialization,Data Science,Certification,Retail,UK Only,71,2026-02-22
1006,Management Track,Technical Leadership,Mentoring,Healthcare,Europe,68,2026-03-25
1007,Management Track,Team Leadership,Certification,Insurance,Europe,88,2026-01-08
1008,Sector Specialization,Cloud Architecture,Online,Banking,Europe,62,2026-03-04
1009,Sector Specialization,Agile Methodologies,Hands-on,Insurance,Global,91,2025-12-24
1010,Entrepreneurship,Cloud Architecture,Online,Retail,Global,83,2025-12-26
1011,Promotion to Senior Role,Team Leadership,Hands-on,Energy,UK Only,75,2026-02-26
1012,Promotion to Senior Role,Team Leadership,Mentoring,Government,UK Only,88,2026-04-13
1013,Sector Specialization,Stakeholder Management,Mentoring,Energy,UK Only,99,2026-04-08
1014,Sector Specialization,Stakeholder Management,Online,Government,Global,77,2025-12-12
1015,Entrepreneurship,Data Science,Mentoring,Retail,Europe,96,2026-03-06
1016,Entrepreneurship,Cloud Architecture,Hands-on,Energy,UK Only,77,2025-11-27
1017,Sector Specialization,Data Science,Hands-on,Transport,Global,80,2026-03-11
1018,Management Track,Team Leadership,Hands-on,Retail,Global,86,2026-02-06
1019,Management Track,Cloud Architecture,Online,Energy,Global,77,2025-11-17
1020,Technical Expertise,Team Leadership,Certification,Government,Global,60,2026-04-20
1021,Management Track,Industry Knowledge,Online,Energy,UK Only,87,2026-03-20
1022,Management Track,Agile Methodologies,Mentoring,Retail,Europe,95,2025-12-17
1023,Sector Specialization,Team Leadership,Mentoring,Healthcare,UK Only,66,2025-12-04
1024,Management Track,Technical Leadership,Online,Transport,Europe,89,2026-05-13
1025,Management Track,Stakeholder Management,Hands-on,Retail,UK Only,77,2026-04-20
1026,Technical Expertise,Agile Methodologies,Online,Government,Global,70,2026-04-30
1027,Management Track,Agile Methodologies,Hands-on,Energy,Global,65,2025-11-14
1028,Promotion to Senior Role,Technical Leadership,Hands-on,Insurance,UK Only,68,2025-12-13
1029,Sector Specialization,Team Leadership,Online,Healthcare,Global,81,2026-04-13
1030,Management Track,Data Science,Certification,Aviation,UK Only,84,2026-04-21
1031,Promotion to Senior Role,Cloud Architecture,Mentoring,Government,Europe,68,2026-02-05
1032,Sector Specialization,Data Science,Online,Healthcare,Global,70,2026-01-21
1033,Technical Expertise,Stakeholder Management,Hands-on,Energy,Global,88,2026-03-19
1034,Promotion to Senior Role,Cloud Architecture,Hands-on,Aviation,Global,84,2026-02-13
1035,Management Track,Industry Knowledge,Hands-on,Banking,Europe,65,2026-03-11
1036,Entrepreneurship,Agile Methodologies,Online,Retail,UK Only,93,2025-12-09
1037,Entrepreneurship,Stakeholder Management,Certification,Retail,Global,63,2026-03-13
1038,Management Track,Project Management,Online,Banking,Europe,100,2025-12-12
1039,Promotion to Senior Role,Technical Leadership,Mentoring,Government,UK Only,84,2025-12-19
1040,Management Track,Industry Knowledge,Hands-on,Insurance,UK Only,61,2025-12-14
